"sub","task","selfconf","coh","rt","resp","cor","cj","RTconf"
1,"dotcolour","lowSC","average",0.486,-1,1,6,0.219
1,"dotcolour","lowSC","easy",0.402,-1,1,6,0.205
1,"dotcolour","lowSC","average",0.452,-1,1,6,0.19
1,"dotcolour","lowSC","hard",0.952,-1,0,4,0.555
1,"dotcolour","lowSC","hard",0.769,1,1,4,0.337
1,"dotcolour","lowSC","average",0.535,1,1,5,0.297
1,"dotcolour","lowSC","average",0.568,-1,1,6,0.241
1,"dotcolour","lowSC","easy",0.45,1,1,6,0.176
1,"dotcolour","lowSC","hard",0.918,-1,1,3,0.512
1,"dotcolour","lowSC","easy",0.534,-1,1,6,2.241
1,"dotcolour","lowSC","hard",0.869,-1,1,6,0.206
1,"dotcolour","lowSC","hard",1.168,-1,1,4,0.321
1,"dotcolour","lowSC","average",0.619,1,1,5,0.246
1,"dotcolour","lowSC","easy",0.469,1,1,6,0.229
1,"dotcolour","lowSC","easy",0.752,-1,1,6,0.313
1,"dotcolour","lowSC","average",0.935,1,1,5,1.138
1,"dotcolour","lowSC","hard",1.002,-1,0,4,0.566
1,"dotcolour","lowSC","hard",0.835,-1,0,3,0.472
1,"dotcolour","lowSC","easy",0.535,1,1,6,0.379
1,"dotcolour","lowSC","easy",0.418,1,1,5,0.23
1,"dotcolour","lowSC","hard",0.518,-1,1,4,0.227
1,"dotcolour","lowSC","average",0.802,1,1,4,0.757
1,"dotcolour","lowSC","average",0.419,1,1,6,0.849
1,"dotcolour","lowSC","easy",0.701,-1,1,6,0.493
1,"dotcolour","lowSC","easy",0.585,-1,1,6,0.206
1,"dotcolour","lowSC","average",0.402,-1,1,5,0.224
1,"dotcolour","lowSC","easy",0.501,1,1,6,0.314
1,"dotcolour","lowSC","easy",0.451,-1,1,6,0.389
1,"dotcolour","lowSC","average",0.451,1,1,6,0.191
1,"dotcolour","lowSC","average",0.451,-1,1,5,0.208
1,"dotcolour","lowSC","easy",0.434,1,1,6,0.194
1,"dotcolour","lowSC","easy",0.452,1,1,6,0.18
1,"dotcolour","lowSC","hard",0.668,-1,0,4,0.253
1,"dotcolour","lowSC","average",0.486,-1,1,5,0.25
1,"dotcolour","lowSC","hard",0.536,1,1,5,0.197
1,"dotcolour","lowSC","average",0.368,1,1,6,0.202
1,"dotcolour","lowSC","easy",0.419,-1,1,6,0.444
1,"dotcolour","lowSC","average",0.368,1,1,5,0.263
1,"dotcolour","lowSC","easy",0.485,-1,1,6,0.132
1,"dotcolour","lowSC","hard",0.818,-1,1,5,0.201
1,"dotcolour","lowSC","easy",0.367,1,1,6,0.173
1,"dotcolour","lowSC","easy",0.402,1,1,6,0.209
1,"dotcolour","lowSC","average",0.418,1,1,6,0.195
1,"dotcolour","lowSC","hard",0.635,-1,0,5,0.35
1,"dotcolour","lowSC","average",0.768,1,1,4,0.235
1,"dotcolour","lowSC","hard",0.802,-1,0,3,0.301
1,"dotcolour","lowSC","hard",0.736,-1,1,4,0.302
1,"dotcolour","lowSC","average",0.635,-1,0,1,0.275
1,"dotcolour","lowSC","hard",0.652,-1,1,5,0.873
1,"dotcolour","lowSC","hard",0.652,1,1,4,0.343
1,"dotcolour","lowSC","hard",0.735,-1,1,5,1.078
1,"dotcolour","lowSC","easy",0.468,-1,1,6,0.195
1,"dotcolour","lowSC","hard",0.719,1,0,6,0.538
1,"dotcolour","lowSC","average",0.602,-1,1,5,0.023
