"sub","task","traindiffcond","coh","rt","resp","cor","cj","RTconf"
1,"dotcolour","average","hard",1.837,1,1,5,0.217
1,"dotcolour","average","average",1.803,1,1,5,0.258
1,"dotcolour","average","average",1.453,-1,1,5,0.711
1,"dotcolour","average","hard",2.204,1,0,4,0.588
1,"dotcolour","average","easy",0.735,1,1,5,0.241
1,"dotcolour","average","hard",2.254,-1,0,4,0.246
1,"dotcolour","average","hard",1.569,-1,1,4,0.247
1,"dotcolour","average","hard",1.236,-1,1,5,0.23
1,"dotcolour","average","hard",1.119,1,1,5,0.218
1,"dotcolour","average","easy",0.669,-1,1,6,0.401
1,"dotcolour","average","average",2.153,1,1,5,0.259
1,"dotcolour","average","hard",1.269,1,1,5,0.528
1,"dotcolour","average","average",0.952,-1,1,5,0.192
1,"dotcolour","average","easy",0.769,-1,1,6,0.292
1,"dotnumber","hard","average",0.852,1,1,5,0.421
1,"dotnumber","hard","average",0.685,-1,1,4,0.244
1,"dotnumber","hard","easy",0.635,1,1,5,0.252
1,"dotnumber","hard","average",0.75,-1,1,4,0.255
1,"dotnumber","hard","average",0.836,-1,1,4,0.206
1,"dotnumber","hard","hard",0.718,1,0,5,0.196
1,"dotnumber","hard","hard",0.918,1,1,4,0.339
1,"dotnumber","hard","easy",0.702,1,1,4,0.228
1,"dotnumber","hard","average",0.986,1,0,5,0.479
1,"dotnumber","hard","average",1.385,-1,1,5,0.207
1,"dotnumber","hard","easy",0.851,-1,1,4,0.288
1,"dotnumber","hard","hard",0.952,1,1,4,0.265
1,"dotnumber","hard","average",0.751,1,1,3,0.843
1,"dotnumber","hard","average",0.668,1,1,4,0.282
1,"dotnumber","hard","hard",1.386,1,1,4,0.241
1,"dotnumber","hard","hard",1.119,1,0,3,1.462
1,"dotnumber","hard","hard",0.785,1,0,4,0.278
1,"dotnumber","hard","hard",0.668,1,0,4,0.859
1,"dotnumber","hard","average",1.268,-1,1,5,0.257
1,"dotnumber","hard","hard",1.469,-1,0,3,0.79
1,"dotnumber","hard","easy",1.286,-1,1,4,0.317
1,"dotnumber","hard","easy",0.602,-1,1,4,0.275
1,"dotnumber","hard","easy",0.785,1,1,6,0.484
1,"dotnumber","hard","hard",1.719,1,0,5,0.534
1,"dotnumber","hard","hard",1.086,1,0,3,0.207
1,"dotnumber","hard","hard",1.12,1,0,1,0.517
1,"dotnumber","hard","easy",0.718,-1,1,3,0.175
1,"dotnumber","hard","hard",0.802,-1,1,4,0.243
1,"dotnumber","hard","hard",0.635,1,0,4,0.859
1,"dotnumber","hard","hard",0.768,1,0,4,0.229
1,"dotnumber","hard","easy",3.638,-1,1,3,0.371
1,"dotnumber","hard","average",1.686,1,0,3,0.027
1,"dotnumber","hard","easy",1.002,-1,1,4,0.221
1,"dotnumber","hard","average",0.686,-1,0,4,0.244
1,"dotnumber","hard","average",0.735,-1,0,4,0.216
1,"dotnumber","hard","easy",0.635,1,1,5,0.241
1,"dotnumber","hard","average",0.518,1,0,2,0.254
1,"dotnumber","hard","average",0.619,1,1,5,0.182
1,"dotnumber","hard","average",1.218,-1,1,4,0.249
1,"dotnumber","hard","easy",0.601,1,1,5,0.226
1,"dotnumber","hard","average",0.701,-1,1,5,0.504
1,"dotnumber","hard","easy",2.337,1,1,5,0.304
1,"dotnumber","hard","average",0.852,1,1,5,0.268
1,"dotnumber","hard","easy",0.903,-1,1,5,0.28
1,"dotnumber","hard","hard",0.652,1,1,5,0.255
1,"dotnumber","hard","hard",0.785,-1,1,2,3.681
1,"dotnumber","hard","average",0.803,1,1,4,0.277
1,"dotnumber","hard","easy",0.635,1,1,5,0.236
1,"dotnumber","hard","easy",0.736,-1,1,5,0.144
1,"dotnumber","hard","average",0.952,1,1,4,0.351
1,"dotnumber","hard","easy",0.701,-1,1,5,0.257
1,"dotnumber","hard","average",0.719,1,0,4,0.293
1,"dotnumber","hard","easy",0.702,-1,1,5,0.264
1,"dotnumber","hard","hard",1.302,-1,1,4,0.293
1,"dotnumber","hard","average",0.902,-1,0,2,0.24
1,"dotnumber","hard","hard",1.453,-1,0,2,0.215
1,"dotnumber","hard","hard",2.17,1,1,4,0.497
1,"dotnumber","hard","average",1.001,1,1,4,0.448
1,"dotnumber","hard","easy",0.601,1,1,4,0.513
1,"dotnumber","hard","hard",0.852,1,1,4,0.726
1,"dotnumber","hard","hard",0.786,1,1,4,0.5
1,"dotnumber","hard","hard",0.652,1,1,4,0.241
1,"dotnumber","hard","hard",0.585,1,1,3,1.035
1,"dotnumber","hard","easy",0.753,1,1,6,0.334
1,"dotnumber","hard","average",0.885,-1,1,6,0.312
1,"dotnumber","hard","easy",0.686,1,0,5,0.411
1,"dotnumber","hard","easy",0.753,1,1,5,0.232
1,"dotnumber","hard","easy",0.652,-1,1,5,0.256
1,"dotnumber","hard","easy",0.751,1,1,5,0.259
1,"dotnumber","hard","average",0.785,1,1,5,0.068
1,"dotnumber","hard","hard",0.802,1,1,5,0.268
1,"dotnumber","hard","easy",2.72,1,1,4,0.27
1,"dotnumber","hard","hard",0.718,1,0,3,0.228
1,"dotnumber","hard","easy",0.501,1,1,5,0.37
1,"dotnumber","hard","average",0.668,-1,1,4,0.259
1,"dotnumber","hard","average",0.685,1,0,3,0.249
1,"dotnumber","hard","average",0.584,1,0,4,0.243
1,"dotnumber","hard","hard",0.702,1,0,3,0.217
1,"dotnumber","hard","easy",0.601,1,1,4,0.323
1,"dotnumber","hard","hard",2.22,-1,1,3,0.63
1,"dotnumber","hard","easy",1.086,-1,1,5,0.253
1,"dotnumber","hard","easy",1.002,1,1,5,0.534
1,"dotnumber","hard","average",0.668,1,1,5,0.288
1,"dotnumber","hard","average",1.185,-1,1,5,0.288
1,"dotnumber","hard","hard",0.751,-1,0,3,0.225
1,"dotnumber","hard","average",0.669,1,1,5,0.265
1,"dotnumber","hard","hard",0.618,-1,0,5,0.145
1,"dotnumber","hard","hard",0.652,1,1,5,0.252
1,"dotnumber","hard","easy",0.469,-1,1,5,0.363
1,"dotnumber","hard","easy",0.702,-1,1,4,1.051
1,"dotnumber","hard","average",0.686,-1,1,4,0.24
1,"dotnumber","hard","average",0.635,-1,0,3,0.201
1,"dotnumber","hard","hard",0.585,-1,1,5,0.676
1,"dotnumber","hard","easy",0.519,1,1,5,0.176
1,"dotnumber","hard","hard",0.718,-1,1,3,0.199
1,"dotnumber","hard","easy",1.369,-1,1,4,0.467
1,"dotnumber","hard","average",0.618,-1,1,4,0.146
