"sub","task","traindiffcond","coh","rt","resp","cor","cj","RTconf","block"
1,"dotcolour","average","easy",1.836,-1,1,5,0.798,7
1,"dotcolour","average","easy",1.438,-1,1,5,0.222,7
1,"dotcolour","average","hard",1.419,1,1,5,0.918,7
1,"dotcolour","average","average",1.336,-1,1,4,0.245,7
1,"dotcolour","average","hard",1.069,1,0,5,0.203,7
1,"dotcolour","average","average",1.719,-1,1,4,1.08,7
1,"dotcolour","average","easy",1.019,1,1,5,0.558,7
1,"dotcolour","average","hard",0.819,-1,1,5,0.241,7
1,"dotcolour","average","hard",1.452,1,0,5,0.327,7
1,"dotcolour","average","hard",3.22,1,1,5,0.21,7
1,"dotcolour","average","easy",0.902,-1,1,5,0.224,7
1,"dotcolour","average","hard",0.919,1,1,5,0.428,7
1,"dotcolour","average","average",1.035,1,1,4,0.268,7
1,"dotcolour","average","average",2.787,-1,1,4,0.363,7
1,"dotcolour","average","average",1.019,1,1,5,0.462,7
1,"dotcolour","average","hard",3.488,-1,1,3,1.08,7
1,"dotcolour","average","average",0.918,1,1,4,0.754,7
1,"dotcolour","average","average",0.885,1,1,5,0.17,7
1,"dotcolour","average","easy",0.868,1,1,6,0.267,7
1,"dotcolour","average","average",1.018,-1,1,5,0.226,7
1,"dotcolour","average","hard",1.837,1,1,5,0.217,7
1,"dotcolour","average","average",1.803,1,1,5,0.258,7
1,"dotcolour","average","average",1.453,-1,1,5,0.711,7
1,"dotcolour","average","hard",2.204,1,0,4,0.588,7
1,"dotcolour","average","easy",0.735,1,1,5,0.241,7
1,"dotcolour","average","hard",2.254,-1,0,4,0.246,7
1,"dotcolour","average","hard",1.569,-1,1,4,0.247,7
1,"dotcolour","average","hard",1.236,-1,1,5,0.23,7
1,"dotcolour","average","hard",1.119,1,1,5,0.218,7
1,"dotcolour","average","easy",0.669,-1,1,6,0.401,7
1,"dotcolour","average","average",2.153,1,1,5,0.259,7
1,"dotcolour","average","hard",1.269,1,1,5,0.528,7
1,"dotcolour","average","average",0.952,-1,1,5,0.192,7
1,"dotcolour","average","easy",0.769,-1,1,6,0.292,7
1,"dotnumber","hard","average",0.852,1,1,5,0.421,5
1,"dotnumber","hard","average",0.685,-1,1,4,0.244,5
1,"dotnumber","hard","easy",0.635,1,1,5,0.252,5
1,"dotnumber","hard","average",0.75,-1,1,4,0.255,5
1,"dotnumber","hard","average",0.836,-1,1,4,0.206,5
