starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
,xotask,17,2,training,hard,hard,44,735,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,18,2,training,hard,hard,42,684,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,19,2,training,hard,hard,37,618,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,20,2,training,hard,hard,35,686,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,21,2,training,hard,hard,43,686,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,22,2,training,hard,hard,45,685,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,23,2,training,hard,hard,46,701,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,0,3,training,hard,hard,36,1736,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,1,3,training,hard,hard,43,1819,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,2,3,training,hard,hard,34,969,['c'],0,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,3,3,training,hard,hard,44,718,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,4,3,training,hard,hard,33,901,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,5,3,training,hard,hard,45,702,['c'],1,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,6,3,training,hard,hard,43,785,['n'],0,left,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,7,3,training,hard,hard,34,819,['n'],1,right,none,-99,-99,,,,,,,,,39,18,Vrouw,Rechts,
